品目コード	プラント	品目テキスト	保管場所	特殊在庫区分	特殊在庫の評価	特殊在庫番号	保管場所レベルでの品目削除フラグ	ロット番号	基本数量単位	利用可能評価在庫	通貨コード	利用可能値	転送中在庫（保管場所間）	積送/輸送中の値	品質検査中在庫	品質検査値	非利用可能ロットの全在庫合計	制限値	保留在庫	保留在庫値	返品保留在庫	保留返品金額	販売伝票	販売伝票明細	棚番	勘定科目コード	勘定科目名	品目タイプ	滞留日数	評価クラス	評価クラステキスト	調達タイプ	調達タイプテキスト	評価減区分
11001216400	P300	Eｶﾞﾀ 3000A 60MV ML3438B	3110						PC	       1.000	JPY	              16620	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P10-4	154000	原材料(自動入力)	ROH	    169	1200	ＳＳＳ原材料	F	外部調達	00
11208010600	P300	HAT1000S 1000A 4V	3110						PC	       2.000	JPY	              15248	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-2	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
11208010800	P300	HAC100S 100A 4V ROHSﾀｲｵｳﾋﾝ	3110						PC	       2.000	JPY	               6862	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-1	154000	原材料(自動入力)	ROH	   2067	1200	ＳＳＳ原材料	F	外部調達	00
11208010900	P300	HAC400S 400A 4V ROHSﾀｲｵｳﾋﾝ	3110						PC	       2.000	JPY	               6500	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-1	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
11251010301	P300	HC-PSG005V9B15H	3110						PC	      10.000	JPY	              39900	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-1	154000	原材料(自動入力)	ROH	    145	1200	ＳＳＳ原材料	F	外部調達	00
11251013100	P300	HS-U050A005B15Q 50A 50MA	3110						PC	       2.000	JPY	               6800	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-3-6	154000	原材料(自動入力)	ROH	   1030	1200	ＳＳＳ原材料	F	外部調達	00
11501112502	P300	Aｶﾞﾀ 50A 60MV ﾀﾞｲｻﾞﾌﾖｳ ﾋﾞｽﾌﾖｳ	3110						PC	       3.000	JPY	               3270	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-2	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
11501113100	P300	Aｶﾞﾀ 200A 60MV	3110						PC	       1.000	JPY	               1935	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-1	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
11501113172	P300	Aｶﾞﾀ 200A 60MV ｼﾞﾚｲ EEA029800*	3110						PC	       6.000	JPY	          14208.144	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA4-1	154000	原材料(自動入力)	ROH	   1474	1200	ＳＳＳ原材料	F	外部調達	00
11501113300	P300	Aｶﾞﾀ 300A 60MV	3110						PC	      10.000	JPY	              22450	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA1	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
12006013600	P300	MPC10 DC750A ﾃｲｶｸDC750A EX.SH*	3110						PC	       2.000	JPY	              46500	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-2	154000	原材料(自動入力)	ROH	   2356	1200	ＳＳＳ原材料	F	外部調達	00
13112114100	P300	H7EC-N 99999999H 0V 30HZ/1KHZ*	3110						PC	       1.000	JPY	               3388	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
20002119905	P300	DMC2-4 DC 10V DC 1MA 2ﾀﾞﾝ*D0A*	3110						PC	       1.000	JPY	               3700	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA4-1	154000	原材料(自動入力)	ROH	   2480	1200	ＳＳＳ原材料	F	外部調達	00
20002135400	P300	DMC-3-4 DC 10V DC 1MA 3ﾀﾞ*D0A*	3110						PC	       2.000	JPY	              10900	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	     12	1200	ＳＳＳ原材料	F	外部調達	00
20313000200	P300	A7B-C ROHSﾀｲｵｳﾋﾝ	3110						PC	       6.000	JPY	               2640	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-1	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
20313120000	P300	A7BS206 ﾌﾟｯｼｭ ﾊﾝﾀﾞ ｼﾕﾂﾘﾖｸｺｰﾄﾞ*	3110						PC	      11.000	JPY	               9570	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA4-2	154000	原材料(自動入力)	ROH	   1320	1200	ＳＳＳ原材料	F	外部調達	00
20313212000	P300	NRT-C ｺﾈｸﾀ	3110						PC	      12.000	JPY	               7800	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA4-2	154000	原材料(自動入力)	ROH	   1076	1200	ＳＳＳ原材料	F	外部調達	00
20531005200	P300	AT611-5V ﾊｸﾈﾂｷｭｳ AC   5V 115ﾐﾘA	3110						PC	       2.000	JPY	                174	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
20531211900	P300	EB2011-111R AC125V AC  3A ｾﾂﾃﾝ1C ｶｸｶﾞﾀ ﾓ	3110						PC	       1.000	JPY	                258	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-1-7	154000	原材料(自動入力)	ROH	   1027	1200	ＳＳＳ原材料	F	外部調達	00
20531412000	P300	LB15SKS1 . . ｾﾂﾃﾝ1C	3110						PC	       7.000	JPY	               4039	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA4-1	154000	原材料(自動入力)	ROH	   2808	1200	ＳＳＳ原材料	F	外部調達	00
20531412400	P300	AT497 ｻｲﾄﾞﾊﾞﾘｱ	3110						PC	       2.000	JPY	                114	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
20531412500	P300	AT498 ｾﾝﾀｰﾊﾞﾘｱ	3110						PC	       1.000	JPY	                 57	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
20612033300	P300	A16-JWA-2 . . 2C ｸﾛ ﾚﾝｽﾞｼﾛ ﾜｸ*	3110						PC	       7.000	JPY	               5166	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-1-4	154000	原材料(自動入力)	ROH	    787	1200	ＳＳＳ原材料	F	外部調達	00
20612040500	P300	A16L-JWA-T1-2 LEDｼｷ ﾃﾝﾄｳAC/DC110 2C(ｵﾙﾀﾈ	3110						PC	       1.000	JPY	               1667	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			保守1	154000	原材料(自動入力)	ROH	     18	1200	ＳＳＳ原材料	F	外部調達	00
20999011700	P300	PEC12R-4220F-S0024 ｴﾝｺｰﾀﾞ 12ｶ*	3110						PC	       3.000	JPY	                333	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P01-2	154000	原材料(自動入力)	ROH	    929	1200	ＳＳＳ原材料	F	外部調達	00
22002213500	P300	MK3P AC100V 3C ｾﾂﾃﾝAC 500V ｾﾂﾃﾝAC	3110						PC	      10.000	JPY	              16000	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
22003006300	P300	MY4ZD DC12V 4C ｾﾂﾃﾝAC 250V ｾﾂ*	3110						PC	       2.000	JPY	               2000	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   1181	1200	ＳＳＳ原材料	F	外部調達	00
22003109300	P300	MYQ4Z AC200V 4C ｾﾂﾃﾝAC 250V ｾ*	3110						PC	       2.000	JPY	               3520	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA4-2	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
22003110000	P300	MY4Z-CR AC100V 4C ROHSﾀｲｵｳﾋﾝ	3110						PC	       1.000	JPY	               1301	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA4-2	154000	原材料(自動入力)	ROH	    583	1200	ＳＳＳ原材料	F	外部調達	00
22003110100	P300	MY4ZD DC24V 4C Dﾂｷ ROHSﾀｲｵｳﾋﾝ	3110						PC	       1.000	JPY	               1190	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P25-3-6-9	154000	原材料(自動入力)	ROH	      1	1200	ＳＳＳ原材料	F	外部調達	00
22003110500	P300	MY2D DC24V 2C ｾﾂﾃﾝAC 220V ｾﾂﾃ*	3110						PC	      14.000	JPY	               8554	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-5-5	154000	原材料(自動入力)	ROH	    113	1200	ＳＳＳ原材料	F	外部調達	00
22003110500	P300	MY2D DC24V 2C ｾﾂﾃﾝAC 220V ｾﾂﾃ*	3160						PC	       3.000	JPY	               1833	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			1-3-2-6	154000	原材料(自動入力)	ROH	    891	1200	ＳＳＳ原材料	F	外部調達	00
22003111600	P300	MY2 AC200V 2C ｾﾂﾃﾝAC 250V ｾﾂﾃ*	3110						PC	      18.000	JPY	               6426	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-5-4	154000	原材料(自動入力)	ROH	    674	1200	ＳＳＳ原材料	F	外部調達	00
220031171	P300	MY4-CR   AC100V	3110						PC	       6.000	JPY	               5208	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-2-3	154000	原材料(自動入力)	ROH	     74	1200	ＳＳＳ原材料	F	外部調達	00
220031171	P300	MY4-CR   AC100V	3120						PC	       1.000	JPY	                868	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	   1643	1200	ＳＳＳ原材料	F	外部調達	00
220031171	P300	MY4-CR   AC100V	3160						PC	       3.000	JPY	               2604	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			1-3-2-4	154000	原材料(自動入力)	ROH	    892	1200	ＳＳＳ原材料	F	外部調達	00
220031172	P300	MY4-CR   AC200V	3110						PC	      35.000	JPY	              31535	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P03-3-2	154000	原材料(自動入力)	ROH	      1	1200	ＳＳＳ原材料	F	外部調達	00
220031172	P300	MY4-CR   AC200V	3160						PC	       3.000	JPY	               2703	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			1-3-2-2	154000	原材料(自動入力)	ROH	    892	1200	ＳＳＳ原材料	F	外部調達	00
22003119100	P300	MY2D DC100V 2C ｾﾂﾃﾝAC 220V ｾﾂ*	3110						PC	      12.000	JPY	               8076	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-2-1	154000	原材料(自動入力)	ROH	     46	1200	ＳＳＳ原材料	F	外部調達	00
22003119100	P300	MY2D DC100V 2C ｾﾂﾃﾝAC 220V ｾﾂ*	3160						PC	       3.000	JPY	               2019	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			1-3-1-10	154000	原材料(自動入力)	ROH	    892	1200	ＳＳＳ原材料	F	外部調達	00
220032336	P300	ﾘﾚｰ MY3N   AC200V	3110						PC	       1.000	JPY	               1050	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
22003233700	P300	MY4N AC200/220V 4C ｾﾂﾃﾝAC 250*	3110						PC	       1.000	JPY	                422	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-3-10	154000	原材料(自動入力)	ROH	    708	1200	ＳＳＳ原材料	F	外部調達	00
220033312	P300	MY4-D    DC12V	3110						PC	      53.000	JPY	              30475	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P03-3-4	154000	原材料(自動入力)	ROH	      1	1200	ＳＳＳ原材料	F	外部調達	00
220033312	P300	MY4-D    DC12V	3120						PC	       1.000	JPY	                575	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	   2012	1200	ＳＳＳ原材料	F	外部調達	00
220033312	P300	MY4-D    DC12V	3160						PC	       3.000	JPY	               1725	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			1-3-1-8	154000	原材料(自動入力)	ROH	    892	1200	ＳＳＳ原材料	F	外部調達	00
220033313	P300	MY4-D    DC24V	3110						PC	     208.000	JPY	              89648	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P03-3-3	154000	原材料(自動入力)	ROH	      1	1200	ＳＳＳ原材料	F	外部調達	00
220033313	P300	MY4-D    DC24V	3120						PC	       1.000	JPY	                431	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	    403	1200	ＳＳＳ原材料	F	外部調達	00
220033313	P300	MY4-D    DC24V	3160						PC	       3.000	JPY	               1293	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			1-3-2-3	154000	原材料(自動入力)	ROH	    892	1200	ＳＳＳ原材料	F	外部調達	00
220033315	P300	MY4-D    DC100V	3110						PC	      73.000	JPY	              42121	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P03-3-1	154000	原材料(自動入力)	ROH	      1	1200	ＳＳＳ原材料	F	外部調達	00
220033315	P300	MY4-D    DC100V	3160						PC	       3.000	JPY	               1731	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			1-3-1-7	154000	原材料(自動入力)	ROH	    352	1200	ＳＳＳ原材料	F	外部調達	00
22004112700	P300	LY2D DC24V 2C ｾﾂﾃﾝAC 250V ｾﾂﾃ*	3110						PC	       1.000	JPY	                567	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-3-3	154000	原材料(自動入力)	ROH	    604	1200	ＳＳＳ原材料	F	外部調達	00
22004212300	P300	LY2 DC24V 2C ｾﾂﾃﾝAC 250V ｾﾂﾃﾝ*	3110						PC	       4.000	JPY	               1300	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-2-2	154000	原材料(自動入力)	ROH	     68	1200	ＳＳＳ原材料	F	外部調達	00
22004212300	P300	LY2 DC24V 2C ｾﾂﾃﾝAC 250V ｾﾂﾃﾝ*	3130						PC	       1.000	JPY	                325	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
22004212300	P300	LY2 DC24V 2C ｾﾂﾃﾝAC 250V ｾﾂﾃﾝ*	3160						PC	       3.000	JPY	                975	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			1-3-2-1	154000	原材料(自動入力)	ROH	    892	1200	ＳＳＳ原材料	F	外部調達	00
22007112801	P300	MM2XP DC48V 2C	3110						PC	       1.000	JPY	               3510	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-4	154000	原材料(自動入力)	ROH	   2056	1200	ＳＳＳ原材料	F	外部調達	00
220201312	P300	G2A434A AC100V	3110						PC	       1.000	JPY	                910	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   2951	1200	ＳＳＳ原材料	F	外部調達	00
22020142700	P300	61F-GP-N1 ｾﾂﾃﾝ2C ｺｲﾙAC200*D0A*	3110						PC	       2.000	JPY	              10706	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			SSS未使用-12	154000	原材料(自動入力)	ROH	    912	1200	ＳＳＳ原材料	F	外部調達	00
22020142800	P300	61F-GP-N1 ｾﾂﾃﾝ2C ｺｲﾙAC100*D0A*	3110						PC	       2.000	JPY	              11348	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			SSS未使用-5	154000	原材料(自動入力)	ROH	    897	1200	ＳＳＳ原材料	F	外部調達	00
22020322400	P300	SDV-FL6 AC100/ 110V 1C	3110						PC	       2.000	JPY	              20340	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   3084	1200	ＳＳＳ原材料	F	外部調達	00
22050113800	P300	PF113A ｿｹﾂﾄ ROHSﾀｲｵｳﾋﾝ	3110						PC	       2.000	JPY	               1880	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-6-4	154000	原材料(自動入力)	ROH	    897	1200	ＳＳＳ原材料	F	外部調達	00
22050212700	P300	PYF14A ｿｹﾂﾄ	3120						PC	       2.000	JPY	                370	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	   1622	1200	ＳＳＳ原材料	F	外部調達	00
22050510600	P300	P3GA11 ｿｹﾂﾄ ROHSﾀｲｵｳﾋﾝ	3110						PC	       1.000	JPY	                370	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-6-5	154000	原材料(自動入力)	ROH	    351	1200	ＳＳＳ原材料	F	外部調達	00
22050612000	P300	8PFA1 ｿｹﾂﾄ	3110						PC	       4.000	JPY	               3280	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-1-3	154000	原材料(自動入力)	ROH	    935	1200	ＳＳＳ原材料	F	外部調達	00
22050811100	P300	PYF08A ｿｹﾂﾄ	3110						PC	       3.000	JPY	                537	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-2-5	154000	原材料(自動入力)	ROH	     43	1200	ＳＳＳ原材料	F	外部調達	00
22050813100	P300	PYC-A1 ﾎｼﾞｶﾅｸﾞ	3120						PC	       3.000	JPY	                 63	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	   1248	1200	ＳＳＳ原材料	F	外部調達	00
22050813200	P300	Y92H3 ﾎｼﾞｶﾅｸﾞ	3110						PC	       3.000	JPY	                 81	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-2-9	154000	原材料(自動入力)	ROH	    148	1200	ＳＳＳ原材料	F	外部調達	00
22050813300	P300	PYC-A2 ﾎｼﾞｶﾅｸﾞ	3110						PC	      24.000	JPY	                504	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-2-7	154000	原材料(自動入力)	ROH	      1	1200	ＳＳＳ原材料	F	外部調達	00
22050815000	P300	P2CF08 ｿｹﾂﾄ ROHSﾀｲｵｳﾋﾝ	3110						PC	       5.000	JPY	               1630	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-2-6	154000	原材料(自動入力)	ROH	   1759	1200	ＳＳＳ原材料	F	外部調達	00
22050815300	P300	Y92F30 ｳﾒｺﾐﾖｳﾄﾘﾂｹﾜｸ	3110						PC	       1.000	JPY	                 80	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-6-6	154000	原材料(自動入力)	ROH	    351	1200	ＳＳＳ原材料	F	外部調達	00
22110000900	P300	AEP52024 DC24V 20A DC24V *D0A*	3110						PC	       1.000	JPY	               4220	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-3-3-4	154000	原材料(自動入力)	ROH	    604	1200	ＳＳＳ原材料	F	外部調達	00
22601007600	P300	SID-NB1-100S 100V	3110						PC	      40.000	JPY	             268000	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P05-3	154000	原材料(自動入力)	ROH	      1	1200	ＳＳＳ原材料	F	外部調達	00
22601007800	P300	SID-NB1-100E 100V	3110						PC	      40.000	JPY	             230600	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P05-3	154000	原材料(自動入力)	ROH	      1	1200	ＳＳＳ原材料	F	外部調達	00
22601008200	P300	UNO-NB2-200 3ｿｳAC200Vﾖｳ UVR:7*	3110						PC	       7.000	JPY	              66500	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	      3	1200	ＳＳＳ原材料	F	外部調達	00
22601008800	P300	VHL-NB2-100 100V L=84-100V H=*	3110						PC	      11.000	JPY	              72600	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	     15	1200	ＳＳＳ原材料	F	外部調達	00
22601009301	P300	VHL-NB2-U2 DC24V L=V H=V ｿｳｻV*	3110						PC	      11.000	JPY	              71720	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-2	154000	原材料(自動入力)	ROH	      5	1200	ＳＳＳ原材料	F	外部調達	00
22601009500	P300	VH-NB2U2 DC24V . . . .	3110						PC	      39.000	JPY	             156000	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			P04-2	154000	原材料(自動入力)	ROH	     11	1200	ＳＳＳ原材料	F	外部調達	00
22601010000	P300	AHNB360T5	3110						PC	       1.000	JPY	              11616	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0			PA3-5	154000	原材料(自動入力)	ROH	   1278	1200	ＳＳＳ原材料	F	外部調達	00
22601010700	P300	VHL-NB2-48T1 DC48V L=40-50V H*	3110						PC	       8.000	JPY	              55200	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0	       0.000	                  0				154000	原材料(自動入力)	ROH	     16	1200	ＳＳＳ原材料	F	外部調達	00
