MRP 日付	プラント	MRP管理者	購買グループ	品目コード	略称	伝票番号	指図番号	所要日付	再計画日付	入庫/所要量	保管場所	親品目コード	親品目テキスト	例外グループ	例外	例外メッセージ	品目テキスト	Type	安全在庫	単位
20250808	P100	900	136	02442150200	購発注	4502413172		20250916	00000000	15.000	1213			6	26	個別セグメントにおける超過	RM-40   60X65	PD	0.000	KG
20250808	P100	900	136	02442150200	購発注	4502414265		20250916	00000000	15.000	1213			6	26	個別セグメントにおける超過	RM-40   60X65	PD	0.000	KG
20250808	P100	900	136	02442150200	購発注	4502418977		20250908	00000000	8.000	1213			6	26	個別セグメントにおける超過	RM-40   60X65	PD	0.000	KG
20250808	P100	900	136	024430593	購発注	4502417275		20251126	20251202	22.000	1213			7	15	再日程計画(先送り)	RM-40   40X240	PD	0.000	KG
20250808	P100	900	136	024430617	購発注	4502398308		20251219	00000000	18.000	1210			6	26	個別セグメントにおける超過	RM-40   45X210	PD	0.000	KG
20250808	P100	900	136	024430617	購発注	4502406623		20251009	00000000	65.000	1213			6	26	個別セグメントにおける超過	RM-40   45X210	PD	0.000	KG
20250808	P100	900	136	024430633	購発注	4502401629		20251205	00000000	4.000	1213			6	26	個別セグメントにおける超過	RM-40   45X 45	PD	0.000	KG
20250808	P100	900	136	024430633	購発注	4502415883		20251017	20251111	5.000	1213			7	15	再日程計画(先送り)	RM-40   45X 45	PD	0.000	KG
20250808	P100	900	136	024430678	購発注	4502401630		20251205	00000000	14.000	1213			6	26	個別セグメントにおける超過	RM-40   45X 85	PD	0.000	KG
20250808	P100	900	136	024430678	購発注	4502415884		20251017	20251111	17.000	1213			7	15	再日程計画(先送り)	RM-40   45X 85	PD	0.000	KG
20250808	P100	900	136	024430713	購発注	4502415461		20250925	00000000	30.000	1213			6	26	個別セグメントにおける超過	RM-40   50X150	PD	0.000	KG
20250808	P100	900	136	024431007	購発注	4502398305		20251219	00000000	193.000	1210			6	26	個別セグメントにおける超過	RM-40   70X290	PD	0.000	KG
20250808	P100	900	136	024431747	購発注	4502417276		20251126	20251202	2.000	1213			7	15	再日程計画(先送り)	RM-40   35X 35	PD	0.000	KG
20250808	P100	900	136	024431797	購発注	4502417277		20251126	20251202	7.000	1213			7	15	再日程計画(先送り)	RM-40   35X 65	PD	0.000	KG
20250808	P100	900	136	024431874	購発注	4502417278		20251126	20251202	4.000	1213			7	15	再日程計画(先送り)	RM-40   20X240	PD	0.000	KG
20250808	P100	900	136	024432603	購発注	4502406624		20251009	00000000	31.000	1213			6	26	個別セグメントにおける超過	RM-40   45X 75	PD	0.000	KG
20250808	P100	900	136	024432762	購発注	4502401631		20251205	00000000	37.000	1213			6	26	個別セグメントにおける超過	RM-40   50X275	PD	0.000	KG
20250808	P100	900	136	024432762	購発注	4502415885		20251017	20251111	46.000	1213			7	15	再日程計画(先送り)	RM-40   50X275	PD	0.000	KG
20250808	P100	900	136	024437561	購発注	4502398306		20251219	00000000	60.000	1210			6	26	個別セグメントにおける超過	RM-40   90X 70	PD	0.000	KG
20250808	P100	900	128	10001003405	購発注	4502415359		20250926	20251003	4.000	1210			7	15	再日程計画(先送り)	DCF6 DC 500V ﾃｲｶｸDC 500V 2.5ｷ*	PD	0.000	PC
20250808	P100	900	128	10001312202	購発注	4502405131		20251029	20251104	3.000	1210			7	15	再日程計画(先送り)	DCF6 DC  100A ﾃｲｶｸDC  100A EX.SHNT 60MV	PD	0.000	PC
20250808	P100	900	128	10015513700	出荷通	4502412977		20250827	20250901	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC200V ﾃｲｶｸDC200V 1.5ｷ*	PD	0.000	PC
20250808	P100	900	128	10015513700	出荷通	4502414419		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC200V ﾃｲｶｸDC200V 1.5ｷ*	PD	0.000	PC
20250808	P100	900	128	10015513700	購発注	4502416514		20250926	20251003	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC200V ﾃｲｶｸDC200V 1.5ｷ*	PD	0.000	PC
20250808	P100	900	128	10015515305	購発注	4502418806		20250926	20251003	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC50A ﾃｲｶｸDC50A EX.SHN*	PD	0.000	PC
20250808	P100	900	128	10015537000	出荷通	4502407820		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	DVF11M DC 500V ﾃｲｶｸDC 500V 1.*	PD	0.000	PC
20250808	P100	900	128	10015537000	出荷通	4502407807		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	DVF11M DC 500V ﾃｲｶｸDC 500V 1.*	PD	0.000	PC
20250808	P100	900	128	10015537900	購発注	4502415360		20250926	20251003	4.000	1210			7	15	再日程計画(先送り)	DVF11M AC12000A ﾃｲｶｸDC 7.5V 1*	PD	0.000	PC
20250808	P100	900	128	10015540100	購発注	4502405611		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	DVF-11M DC 200V ﾃｲｶｸDC 200V 1*	PD	0.000	PC
20250808	P100	900	128	10015545102	購発注	4502405612		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC-75A +75A ﾃｲｶｸDC-75A*	PD	0.000	PC
20250808	P100	900	128	10015545600	購発注	4502395220		20251029	20251105	1.000	1210			7	15	再日程計画(先送り)	DVF11M AC  200A ﾃｲｶｸDC  10V 1*	PD	0.000	PC
20250808	P100	900	128	10015545700	購発注	4502395221		20251029	20251105	1.000	1210			7	15	再日程計画(先送り)	DVF11M AC  9KV ﾃｲｶｸDC  10V 1.*	PD	0.000	PC
20250808	P100	900	128	10015545800	購発注	4502395222		20251029	20251105	1.000	1210			7	15	再日程計画(先送り)	DVF11M AC300KW ﾃｲｶｸDC  10V 1.*	PD	0.000	PC
20250808	P100	900	128	10015545900	購発注	4502395223		20251029	20251105	1.000	1210			7	15	再日程計画(先送り)	DVF11M 0-3kHZ ﾃｲｶｸDC  10V 1.5*	PD	0.000	PC
20250808	P100	900	128	10015547700	出荷通	4502411221		20250827	20250901	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC   75A ﾃｲｶｸDC   75A *	PD	0.000	PC
20250808	P100	900	128	10015547702	購発注	4502405613		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC   75A ﾃｲｶｸDC   75A *	PD	0.000	PC
20250808	P100	900	128	10015550400	購発注	4502418811		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC450A ﾃｲｶｸDC450A EX.S*	PD	0.000	PC
20250808	P100	900	128	10015550500	購発注	4502418812		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC-450A +450A ﾃｲｶｸDC-4*	PD	0.000	PC
20250808	P100	900	128	10015553400	購発注	4502417949		20250827	20250901	1.000	1210			7	15	再日程計画(先送り)	DVF11M DC-150A +75A ﾃｲｶｸDC-15*	PD	0.000	PC
20250808	P100	900	128	10015558500	購発注	4502415361		20250926	20251003	4.000	1210			7	15	再日程計画(先送り)	DVF11M AC 15V ﾃｲｶｸDC 5V 1.5ｷﾕ*	PD	0.000	PC
20250808	P100	900	128	10045318900	出荷通	4502407817		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC  100A ﾃｲｶｸAC    5A *	PD	0.000	PC
20250808	P100	900	128	10045318900	出荷通	4502407821		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC  100A ﾃｲｶｸAC    5A *	PD	0.000	PC
20250808	P100	900	128	10045318900	出荷通	4502407808		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC  100A ﾃｲｶｸAC    5A *	PD	0.000	PC
20250808	P100	900	128	10045318900	出荷通	4502405387		20250821	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC  100A ﾃｲｶｸAC    5A *	PD	0.000	PC
20250808	P100	900	128	10045318900	出荷通	4502403898		20250821	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC  100A ﾃｲｶｸAC    5A *	PD	0.000	PC
20250808	P100	900	128	10045318900	出荷通	4502403904		20250821	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC  100A ﾃｲｶｸAC    5A *	PD	0.000	PC
20250808	P100	900	128	10045318900	出荷通	4502407813		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC  100A ﾃｲｶｸAC    5A *	PD	0.000	PC
20250808	P100	900	128	10045319400	購発注	4502412317		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	AVF11M AC  200A ﾃｲｶｸAC    5A *	PD	0.000	PC
20250808	P100	900	128	10045319500	購発注	4502412318		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	AVF11M AC 150V ﾃｲｶｸAC 150V 1.*	PD	0.000	PC
20250808	P100	900	128	10045319500	購発注	4502405608		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	AVF11M AC 150V ﾃｲｶｸAC 150V 1.*	PD	0.000	PC
20250808	P100	900	128	10045320100	購発注	4502416515		20250926	20251003	2.000	1210			7	15	再日程計画(先送り)	AVF11M AC 300V ﾃｲｶｸAC 300V 1.*	PD	0.000	PC
20250808	P100	900	128	10045320100	出荷通	4502407818		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC 300V ﾃｲｶｸAC 300V 1.*	PD	0.000	PC
20250808	P100	900	128	10045320100	出荷通	4502407822		20250905	20250609	2.000	1210			7	10	再日程計画(前倒し)	AVF11M AC 300V ﾃｲｶｸAC 300V 1.*	PD	0.000	PC
20250808	P100	900	128	10045320100	出荷通	4502407809		20250905	20250609	2.000	1210			7	10	再日程計画(前倒し)	AVF11M AC 300V ﾃｲｶｸAC 300V 1.*	PD	0.000	PC
20250808	P100	900	128	10045320100	出荷通	4502405388		20250821	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC 300V ﾃｲｶｸAC 300V 1.*	PD	0.000	PC
20250808	P100	900	128	10045320100	出荷通	4502403899		20250821	20250609	2.000	1210			7	10	再日程計画(前倒し)	AVF11M AC 300V ﾃｲｶｸAC 300V 1.*	PD	0.000	PC
20250808	P100	900	128	10045320100	出荷通	4502403905		20250821	20250609	2.000	1210			7	10	再日程計画(前倒し)	AVF11M AC 300V ﾃｲｶｸAC 300V 1.*	PD	0.000	PC
20250808	P100	900	128	10045320100	出荷通	4502407814		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	AVF11M AC 300V ﾃｲｶｸAC 300V 1.*	PD	0.000	PC
20250808	P100	900	128	10045321602	購発注	4502414684		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	AVF11M AC30A ﾃｲｶｸAC5A 1.5ｷﾕｳ *	PD	0.000	PC
20250808	P100	900	128	10045321901	購発注	4502418807		20250926	20251003	1.000	1210			7	15	再日程計画(先送り)	AVF11M AC  30A ﾃｲｶｸAC    5A 1*	PD	0.000	PC
20250808	P100	900	128	10122111109	購発注	4502418813		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	FVF11 45-55HZ AC110V ﾃｽﾄﾚﾎﾟｰﾄ*	PD	0.000	PC
20250808	P100	900	128	10122212300	購発注	4502405609		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	FVF11M 55-65HZ AC110V	PD	0.000	PC
20250808	P100	900	128	10122212600	購発注	4502416516		20250926	20251003	1.000	1210			7	15	再日程計画(先送り)	FVF11M 55-65HZ AC220V	PD	0.000	PC
20250808	P100	900	128	10122212600	出荷通	4502407823		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	FVF11M 55-65HZ AC220V	PD	0.000	PC
20250808	P100	900	128	10122212600	出荷通	4502407810		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	FVF11M 55-65HZ AC220V	PD	0.000	PC
20250808	P100	900	128	10122212600	購発注	4502405389		20250912	20250609	1.000	1210			7	10	再日程計画(前倒し)	FVF11M 55-65HZ AC220V	PD	0.000	PC
20250808	P100	900	128	10122212600	出荷通	4502403900		20250826	20250609	1.000	1210			7	10	再日程計画(前倒し)	FVF11M 55-65HZ AC220V	PD	0.000	PC
20250808	P100	900	128	10122212600	出荷通	4502403906		20250826	20250609	1.000	1210			7	10	再日程計画(前倒し)	FVF11M 55-65HZ AC220V	PD	0.000	PC
20250808	P100	900	128	10122212600	出荷通	4502407815		20250905	20250609	1.000	1210			7	10	再日程計画(前倒し)	FVF11M 55-65HZ AC220V	PD	0.000	PC
20250808	P100	900	128	10183221900	出荷通	4502366633		20250827	20250912	2.000	1210			7	15	再日程計画(先送り)	DU7 DC  500A ﾃｲｶｸDC   10V . 2*	PD	0.000	PC
20250808	P100	900	128	10183221900	購発注	4502366724		20260424	20260508	2.000	1210			7	15	再日程計画(先送り)	DU7 DC  500A ﾃｲｶｸDC   10V . 2*	PD	0.000	PC
20250808	P100	900	128	10183222000	出荷通	4502366634		20250827	20250912	2.000	1210			7	15	再日程計画(先送り)	DU7 DC  500V ﾃｲｶｸDC 12.5V . 2*	PD	0.000	PC
20250808	P100	900	128	10183222000	購発注	4502366725		20260424	20260508	2.000	1210			7	15	再日程計画(先送り)	DU7 DC  500V ﾃｲｶｸDC 12.5V . 2*	PD	0.000	PC
20250808	P100	900	128	10701069103	購発注	4502416517		20250926	20251003	1.000	1216			7	15	再日程計画(先送り)	TDM-49T-9191-1A 3.5ｹﾀ ﾎｼﾞ*D0A*	PD	0.000	PC
20250808	P100	900	128	10701069106	出荷通	4502407824		20250828	20250609	1.000	1210			7	10	再日程計画(前倒し)	TDM-49T-9191-1A 3.5ｹﾀ ﾎｼﾞ*D0A*	PD	0.000	PC
20250808	P100	900	128	10701069106	出荷通	4502407811		20250828	20250609	1.000	1210			7	10	再日程計画(前倒し)	TDM-49T-9191-1A 3.5ｹﾀ ﾎｼﾞ*D0A*	PD	0.000	PC
20250808	P100	900	128	10701069106	出荷通	4502403901		20250826	20250609	1.000	1210			7	10	再日程計画(前倒し)	TDM-49T-9191-1A 3.5ｹﾀ ﾎｼﾞ*D0A*	PD	0.000	PC
20250808	P100	900	128	10701069106	出荷通	4502403907		20250826	20250609	1.000	1210			7	10	再日程計画(前倒し)	TDM-49T-9191-1A 3.5ｹﾀ ﾎｼﾞ*D0A*	PD	0.000	PC
20250808	P100	900	128	10701918808	出荷通	4502396195		20251003	20250304	1.000	1210			7	10	再日程計画(前倒し)	SQLC-110L-D4320-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701919701	出荷通	4502403390		20251121	20250903	1.000	1210			7	10	再日程計画(前倒し)	TLC-110L-DZY020-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701919704	出荷通	4502400928		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	TLC-110L-DZY020-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701919704	出荷通	4502403398		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	TLC-110L-DZY020-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701921903	出荷通	4502376214		20250904	00000000	8.000	1210			6	20	手配を取消	SQLC-110L-D4320-L0F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701921903	出荷通	4502403391		20251121	20250903	1.000	1210			7	10	再日程計画(前倒し)	SQLC-110L-D4320-L0F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701921903	出荷通	4502400929		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	SQLC-110L-D4320-L0F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701921903	出荷通	4502403399		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	SQLC-110L-D4320-L0F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701921904	出荷通	4502376215		20250904	00000000	1.000	1210			6	20	手配を取消	SQLC-110L-D4320-L0F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701923401	出荷通	4502398277		20250827	20250903	1.000	1210			7	15	再日程計画(先送り)	SQLC-110L-D3P20-L0F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701923800	出荷通	4502400100		20250827	20250821	1.000	1210			7	10	再日程計画(前倒し)	SQLC-110L-D3120-L0F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701925500	出荷通	4502396197		20251003	20250304	1.000	1210			7	10	再日程計画(前倒し)	TLC-110L-D28820-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701925600	出荷通	4502394589		20250918	20250304	1.000	1210			7	10	再日程計画(前倒し)	TLC-110L-DZ2020-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701925601	出荷通	4502394590		20250918	20250304	1.000	1210			7	10	再日程計画(前倒し)	TLC-110L-DZ2020-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701925800	出荷通	4502394588		20250918	20250304	1.000	1210			7	10	再日程計画(前倒し)	SQLC-110L-D3P20-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701926200	出荷通	4502395174		20250918	20250304	2.000	1210			7	10	再日程計画(前倒し)	SVLC-110L-DFD11-11F AC85-*D0A*	PD	0.000	PC
20250808	P100	900	128	10701926400	出荷通	4502397398		20251006	20250304	1.000	1210			7	10	再日程計画(前倒し)	SQLC-110L-D1320-10F DC20-*D0A*	PD	0.000	PC
20250808	P100	900	103	10701926700	購発注	4502415318		20250926	20251003	4.000	1210			7	15	再日程計画(先送り)	A5210-18-R1 4ｹﾀ DC9-60V 4-20M*	PD	0.000	PC
20250808	P100	900	128	10702083000	出荷通	4502396191		20251003	20250304	1.000	1210			7	10	再日程計画(前倒し)	TT2-91AB3F3 DC-60-0+60MV OUT:*	PD	0.000	PC
20250808	P100	900	128	10702088900	出荷通	4502396192		20251003	20250304	1.000	1210			7	10	再日程計画(前倒し)	TT2-91A00F3 IN:DC0-200V OUT:D*	PD	0.000	PC
20250808	P100	900	128	10702091400	出荷通	4502396193		20251003	20250304	1.000	1210			7	10	再日程計画(前倒し)	AETT2-91A B2F3 IN:AC0-5A 50/6*	PD	0.000	PC
20250808	P100	900	128	10702091500	出荷通	4502396194		20251003	20250304	2.000	1210			7	10	再日程計画(前倒し)	VETT2-91A B1F3 IN:AC0-150V 50*	PD	0.000	PC
20250808	P100	900	128	10702091700	出荷通	4502403822		20250821	20250807	15.000	1210			7	10	再日程計画(前倒し)	VGP2ES9-3 IN:AC15V 5HZ-100HZ *	PD	0.000	PC
20250808	P100	900	128	10702091700	購発注	4502415362		20250926	20251003	4.000	1210			7	15	再日程計画(先送り)	VGP2ES9-3 IN:AC15V 5HZ-100HZ *	PD	0.000	PC
20250808	P100	900	128	10702092200	購発注	4502415363		20250926	20251003	4.000	1210			7	15	再日程計画(先送り)	AGP2ES9-3 IN:AC0-3.4A 5HZ-100*	PD	0.000	PC
20250808	P100	900	117	10802031700	購発注	4502395248		20251029	20251105	6.000	1210			7	15	再日程計画(先送り)	KVS44B/K IN:DC0-10V OUT: 10V*	PD	0.000	PC
20250808	P100	900	117	10802057400	購発注	4502395249		20251029	20251105	2.000	1210			7	15	再日程計画(先送り)	KVS4A-B/K IN.DC0-10V OUT4-20MA ﾎｼﾞﾖ100V	PD	0.000	PC
20250808	P100	900	117	10802067300	購発注	4502395250		20251029	20251105	2.000	1210			7	15	再日程計画(先送り)	KSF44B IN:DC0-10V OUT:MAX10V *	PD	0.000	PC
20250808	P100	900	117	10802079700	購発注	4502412658		20250925	00000000	4.000	1210			6	26	個別セグメントにおける超過	W5VS-4AY-M IN:DC0-10V OUT:DC 20MA OUT:DC	PD	0.000	PC
20250808	P100	900	117	10802082600	購発注	4502415390		20250926	20251003	12.000	1210			7	15	再日程計画(先送り)	W5VS-5AY-M*	PD	0.000	PC
20250808	P100	900	117	10802084100	購発注	4502391384		20250827	20250909	3.000	1210			7	15	再日程計画(先送り)	W5VS-45Y-M IN:DC0-10V OUT:DC*	PD	0.000	PC
20250808	P100	900	117	10802086900	購発注	4502415391		20250926	20251003	4.000	1210			7	15	再日程計画(先送り)	W5VS-AAYM IN:DC4-20MA OUT:DC 20MA OUT:DC	PD	0.000	PC
20250808	P100	900	117	10802087700	購発注	4502414740		20251029	20251106	1.000	1210			7	15	再日程計画(先送り)	W5VS-54YM IN:DC0-5V OUT:DC 10V OUT:DC  0	PD	0.000	PC
