指図のMRP管理者	製造指図/ネットワーク	指図の品目テキスト	計画開始	計画終了	明細カテゴリ	MRP管理者	品目コード	品目テキスト	出庫完了	所要量	出庫済み	所要残（不足数）	出庫保管場所在庫	プラント在庫数量	出庫保管場所	棚番	購買グループテキスト	仕入先コード	仕入先名称	購買依頼	購買発注量	購買発注登録日	指定納期	回答納期	入庫日付	購買伝票	常備の購買発注	MRPタイプ	WBS要素	親WBS要素	親ネットワーク番号	不足品目	利用可能数量
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42421024600	ECQE12104KF AC 125V DC1250V 0*	X	           15.000	           15.000	            0.000	          804.000	         1383.000	1120	B1001	高間　奈穂	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/07/31	2025/09/25	0000/00/00	0000/00/00		4502417054	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42442624300	DE2F3KY103MA3BM02F ｾﾗﾐｯｸｺﾝﾃﾞﾝ*	X	           45.000	           45.000	            0.000	         2728.000	         4078.000	1120	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42442627600	DE1E3RA222MA4BN01F ｾﾗﾐｯｸｺﾝﾃﾞﾝ*	X	           30.000	           30.000	            0.000	        12171.000	        24841.000	1120	B1001	高間　奈穂	S00011	岡本無線電機（株）		            0.000	2025/06/19	2025/10/06	2025/10/06	0000/00/00		4502408058	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42442627600	DE1E3RA222MA4BN01F ｾﾗﾐｯｸｺﾝﾃﾞﾝ*	X	            2.000	            2.000	            0.000	        12171.000	        24841.000	1120	B1001	高間　奈穂	S00011	岡本無線電機（株）		            0.000	2025/06/19	2025/10/06	2025/10/06	0000/00/00		4502408058	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42442627700	DE1E3RA472MA4BN01F ｾﾗﾐｯｸｺﾝﾃﾞﾝ*	X	           30.000	           30.000	            0.000	         6592.000	        14615.000	1120	B1001	高間　奈穂	S00011	岡本無線電機（株）		            0.000	2025/08/08	2025/11/14	0000/00/00	0000/00/00		4502418780	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	43011293600	PQ30RV11J00H ｱﾅﾛｸﾞ ﾃﾞﾝｹﾞﾝﾖｳIC*	X	            1.000	            1.000	            0.000	          472.000	         2083.000	1120	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	47953005500	ESD-R19B . . ﾃﾞｰﾀﾗｲﾝﾌｲﾙﾀ *D0A*	X	           30.000	           30.000	            0.000	          127.000	          127.000	1120	B1001	高間　奈穂	S00129	ソレキア（株）		            0.000	2024/09/12	2025/10/11	2025/10/11	0000/00/00		4502354967	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	50909014700	C-300-EG-3-5 2M ﾊﾟｯｷﾝ	X	            2.000	            2.000	            0.000	            4.000	            4.000	1210	B1001	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/06/11	2025/08/20	2025/08/20	0000/00/00		4502406600	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	50990001600	2621603 ﾎﾟﾘﾌﾟﾛﾋﾟﾚﾝ ｶﾞｲｹｲ21MM *	X	           30.000	           30.000	            0.000	          652.000	          652.000	1210	B1001	海外	S50022	SANREX CORPORATION		            0.000	2025/07/22	2025/09/22	0000/00/00	0000/00/00		4502415062	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	50990004800	CM-2S-1T 難燃ABS樹脂 Φ25.6mm 14.4*	X	            1.000	            1.000	            0.000	         1040.000	         1040.000	1210	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	52003000701	SMV2JC7/0.16*11*210P2S4.5*D0A*	X	            1.000	            1.000	            0.000	          696.000	          696.000	1210	B1001	生島　武				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	52003000701	SMV2JC7/0.16*11*210P2S4.5*D0A*	X	           15.000	           15.000	            0.000	          696.000	          696.000	1210	B1001	生島　武				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	606011146	ｺﾞﾑｱｼ     C-30-RK-3215	X	           60.000	           60.000	            0.000	           41.000	           41.000	1210	B1001	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/06/27	2025/09/10	2025/09/10	0000/00/00		4502410058	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	E00A1840300	ポリ袋	X	           15.000	           15.000	            0.000	          430.000	         1696.000	1210	B1001	岡本　浩				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	40305424200	ERG5SJ332 5W 3.3kｵｰﾑ +       *	X	           15.000	           15.000	            0.000	          749.000	          749.000	1120	B2101	芦田				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	40306002400	ERG5SJ100 5W 10ｵｰﾑ +-5%	X	           90.000	           90.000	            0.000	          495.000	          495.000	1120	B2101	芦田				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	40306183700	MOS5C220J 5W 22Ω ±5%	X	           90.000	           90.000	            0.000	          816.000	          816.000	1120	B2101	高間　奈穂	S00689	（株）オリナス		            0.000	2025/07/11	2025/09/10	2025/09/10	0000/00/00		4502413122	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42421020400	ECWH12333JV DC1250V 0.033MF +*	X	           30.000	           30.000	            0.000	         1033.000	         1033.000	1210	B2101	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	52003000601	SMV2JC7/0.16*12*210P2S4.5*D0A*	X	           15.000	           15.000	            0.000	          608.000	          608.000	1210	B2101	生島　武				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53692118900	EH18U ｴﾂｼﾞﾎﾙﾀﾞ ﾅｲｹｲ 18MM 66ﾅｲ*	X	           45.000	           45.000	            0.000	          473.000	          473.000	1210	B2101	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/07/19	2025/09/22	2025/09/22	0000/00/00		4502414793	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53692123400	PLWS-1U ﾜｲﾔｰｻﾄﾞﾙ 11X  6MM 66ﾅ*	X	           15.000	           15.000	            0.000	          388.000	          388.000	1210	B2101	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	40305019700	ERG3SJ683 3W 68Kｵｰﾑ +-5% ﾊﾞﾝﾄ*	X	           15.000	           15.000	            0.000	            9.000	            9.000	1120	B2102	芦田				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	40306186400	MOS5C153J 5W 15KΩ ±5%	X	           15.000	           15.000	            0.000	          737.000	          737.000	1120	B2102	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42421024100	ECWH12103JV DC1250V 0.010μF +*	X	           30.000	           30.000	            0.000	          449.000	          449.000	1120	B2102	高間　奈穂	S01944	（株）三ツ波		            0.000	2025/05/14	2025/09/11	2025/09/11	0000/00/00		4502400768	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	52003000501	SMV2JC7/0.16*15*210P2S4.5 ﾊﾊﾞ*	X	           15.000	           15.000	            0.000	          300.000	          300.000	1210	B2102	生島　武				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	N00B0289100	注意ﾗﾍﾞﾙ(英仏)	X	           15.000	           15.000	            0.000	          110.000	          110.000	1210	B2102	桑山				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53550015800	PC4-01M ｽﾄﾚｰﾄ R1/8	X	           15.000	           15.000	            0.000	           16.000	           16.000	1210	B4001	谷口　真知子	S00780	杉本商事（株）		            0.000	2025/03/06	2025/11/12	2025/11/12	0000/00/00		4502387981	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53634137901	ZSB-M6-R M   6 ﾄﾞｳﾅｶﾞｻ 25MM ﾈ*	X	           15.000	           15.000	            0.000	          413.000	          413.000	1210	B4001	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53692230000	TB300B MAX  2MM ﾄﾘﾂｹｱﾅ5.2*D0A*	X	           90.000	           90.000	            0.000	         2937.000	         3737.000	1210	B4001	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/07/01	2025/09/22	2025/09/22	0000/00/00		4502410431	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53550031200	PC4-N2U ﾂｷﾞﾃ ﾁｭ-ﾌﾞﾌｧｲ4 ﾈｼﾞNPT*	X	           15.000	           15.000	            0.000	            6.000	            6.000	1210	B4002	谷口　真知子	S00780	杉本商事（株）		            0.000	2025/06/25	2025/09/11	2025/09/11	0000/00/00		4502409392	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53692127100	ﾎｰｽﾊﾞﾝﾄﾞM00 SUS304 ﾊｲｸﾞﾘｯﾌﾟ 1*	X	           15.000	           15.000	            0.000	           90.000	           90.000	1210	B4002	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	N00B0288900	注意ﾗﾍﾞﾙ(和文)	X	           15.000	           15.000	            0.000	          110.000	          110.000	1210	B4002	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	50990003700	3021103 ｷｬｯﾌﾟ ﾎﾟﾘﾌﾟﾛﾋﾟﾚﾝ ｶﾞｲｹ*	X	           30.000	           30.000	            0.000	          250.000	          250.000	1210	B4003	海外	S50022	SANREX CORPORATION		            0.000	2025/07/14	2025/11/12	0000/00/00	0000/00/00		4502413544	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	N00B0272500	操作ラベル	X	           15.000	           15.000	            0.000	           57.000	           57.000	1210	B4003	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	EEA302900	ﾌｸﾛﾅﾂﾄ  ROHS	X	           15.000	           15.000	            0.000	           22.000	           22.000	1210	B6001	武村　靖彦				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	EEA303000	ﾆﾂﾌﾟﾙ   ROHS	X	           15.000	           15.000	            0.000	           40.000	           40.000	1210	B6001	武村　靖彦				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53692231000	TA310B MAX  2MM ﾄﾘﾂｹｱﾅ5.2*D0A*	X	           90.000	           90.000	            0.000	          294.000	          594.000	1210	B6002	谷口　真知子	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/07/30	2025/10/02	0000/00/00	0000/00/00		4502416805	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53692308700	ST-M ｼﾙﾊﾞｰｸﾞﾚｰ M20x1.5 特殊ﾎﾟﾘｱ*	X	           15.000	           15.000	            0.000	           30.000	           30.000	1210	B6002	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/05/14	2025/09/11	2025/09/11	0000/00/00		4502400650	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53692308800	GMP-GL-Mｼﾙﾊﾞｰｸﾞﾚｰ M20x1.5 強化ﾎ*	X	           15.000	           15.000	            0.000	           30.000	           30.000	1210	B6002	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/05/16	2025/11/12	2025/11/12	0000/00/00		4502401138	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	40305433100	MOSX3C4R7J 3W 4.7Ω ±5%	X	           15.000	           15.000	            0.000	          835.000	          895.000	1120	B6003	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53692306300	ｱﾙﾐﾊﾟｲﾌﾟ ﾖﾋﾞ12 ｶﾞｲｹｲ14 ﾀｶｻ15 *	X	           15.000	           15.000	            0.000	           95.000	           95.000	1210	B6003	川崎　喜之				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53631956000	HP-5-80 ｻﾝｶｸﾛﾒｰﾄ M5 80 ﾈｼﾞ13m*	X	           30.000	           30.000	            0.000	           54.000	           54.000	1210	B6004	谷口　真知子	S00685	篠原電機（株）		            0.000	2025/08/06	2025/07/25	0000/00/00	0000/00/00		4502418289	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	E9A148001	ﾄｰﾁｶﾅｸﾞ ROHS	X	           15.000	           15.000	            0.000	            0.000	            0.000	1210	B6005	武村　靖彦				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	EEA219600	ｶﾞｽﾅﾂﾄ  ROHS	X	           15.000	           15.000	            0.000	            9.000	            9.000	1210	B6005	武村　靖彦	S00083	吉川金属製作所		            0.000	2025/08/02	2025/09/02	2025/09/09	0000/00/00		4502417720	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	40321420400	MOS3C 683J 3W 68Kｵｰﾑ +-5% ﾊﾞﾝ*	X	           15.000	           15.000	            0.000	         1025.000	         1827.000	1210	B6006	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	N1A132100	ｸﾞﾗﾝﾄﾞｼｰﾙ	X	           15.000	           15.000	            0.000	          627.000	          627.000	1210	B6006	海外				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53602050300	ASB310Eｵｳﾄﾞｳｽﾍﾟｰｻ ﾖﾋﾞM3 ｶ*D0A*	X	           60.000	           60.000	            0.000	          147.000	          509.000	1210	B8003	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	52031131701	CE-362 2.5# X  3C ｸﾛ･ｸﾛ･ｷﾐﾄﾞﾘ*	X	           48.000	           48.000	            0.000	            8.000	            8.000	1210	H421	谷口　真知子	S00741	志村商事（株）		            0.000	2025/06/13	2025/09/11	2025/09/11	0000/00/00		4502407086	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	53612132801	T0425B-20 ﾅｲﾛﾝﾎｰｽ ﾅｲｹｲ2.5MM ｶ*	X	            7.500	            7.500	            0.000	           59.000	           59.000	1210	H4611	谷口　真知子	S00253	（株）鳥羽洋行滋賀営業所		            0.000	2025/07/29	2025/10/15	2025/10/15	0000/00/00		4502416533	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	44500017800	D1N60-5070 IF 0.8A VRRM600V	X	           30.000	           30.000	            0.000	        18664.000	        29579.000	1121	JA26	高間　奈穂	S00101	モリ電子工業（株）		            0.000	2025/08/05	2025/11/18	0000/00/00	0000/00/00		4502417950	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	54998188800	ポリ袋1200x1000 1200x1000 LDPE 1*	X	           15.000	           15.000	            0.000	           69.000	           69.000	1210	KJ9	岡本　浩				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	11251009300	HC-TN200V4B15M ROHS 200A *D0A*	X	           15.000	           15.000	            0.000	          131.000	          231.000	1210	P1	高間　奈穂	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/07/31	2025/09/25	0000/00/00	0000/00/00		4502417045	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	25323003300	BW50AAG-2P050 2P 50AF50AT ﾋｮｳ*	X	           15.000	           15.000	            0.000	            0.000	            0.000	1210	P1	田中	S00086	宝永電機（株）		            0.000	2025/05/19	2025/10/03	2025/10/03	0000/00/00		4502401401	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	33302002900	D12T24PS103 DC 24V I=<0.3*D0A*	X	           15.000	           15.000	            0.000	         1965.000	         1965.000	1210	P1	桑山				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42601003900	SS351206PPQ1 DC 350V 20MF*D0A*	X	           30.000	           30.000	            0.000	          784.000	         1457.000	1210	P1	高間　奈穂	S01944	（株）三ツ波		            0.000	2025/05/20	2025/09/11	2025/11/20	0000/00/00		4502401722	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	43401303100	CM100DUS12F VCES 600V VGES  2*	X	           30.000	           30.000	            0.000	          726.000	          726.000	1210	P1	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	450A40160	DFA50BA160 R	X	           15.000	           15.000	            0.000	          879.000	         1023.000	1210	P1	外注				            0.000	2025/04/21	2025/11/05	2025/11/05	0000/00/00		4502397143	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	455C10050	FRS300BA50 R	X	           30.000	           30.000	            0.000	          247.000	          297.000	1210	P1	外注				            0.000	2025/07/16	2026/01/16	2026/01/16	0000/00/00		4502413967	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	47940029400	FN2030B-20-08 AC250V 20A DC～4*	X	           15.000	           15.000	            0.000	           35.000	           35.000	1210	P1	高間　奈穂	S00308	アヴネット（株）		            0.000	2025/05/20	2025/11/12	0000/00/00	0000/00/00		4502401533	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	47953023300	ESD-SR150 . .	X	           45.000	           45.000	            0.000	          973.000	          973.000	1210	P1	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	47954009700	DT-265 65UH 20KHZ 5A 27X13 Ro*	X	            1.000	            1.000	            0.000	           14.000	           14.000	1210	P1	生島　武				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	S00A0161701	FRD100BA60 X	X	           15.000	           15.000	            0.000	           82.000	           82.000	1210	P1	外注	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/03/18	2025/08/21	0000/00/00	0000/00/00		4502390085	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	26999025600	TRAK-SK10-25 ｹｰﾌﾞﾙﾌﾟﾗｸﾞ 200A *	X	           30.000	           30.000	            0.000	          340.000	          340.000	1210	P2	桑山				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	26999025700	TRAK-BE10-25 ﾊﾟﾈﾙｿｹｯﾄ 200A ﾌｧ*	X	           15.000	           15.000	            0.000	          616.000	          616.000	1210	P2	桑山				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	26999025700	TRAK-BE10-25 ﾊﾟﾈﾙｿｹｯﾄ 200A ﾌｧ*	X	           30.000	           30.000	            0.000	          616.000	          616.000	1210	P2	桑山				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	34910000400	5505NBR1.5 DC24V AIR,CO2,*D0A*	X	           15.000	           15.000	            0.000	          522.000	          622.000	1210	P2	海外	S50022	SANREX CORPORATION		            0.000	2025/07/07	2025/12/08	0000/00/00	0000/00/00		4502411927	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	42421532500	MP0-2 105J430V 430VAC 1.0*D0A*	X	           15.000	           15.000	            0.000	         2519.000	         2519.000	1120	P2	海外				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	46965225000	PTP-46F-S1 20kΩ/25℃ B=395*D0A*	X	           30.000	           30.000	            0.000	         2997.000	         4507.000	1210	P2	高間　奈穂	S01561	明治電機工業（株）大阪（営）		            0.000	2025/07/12	2025/10/16	2025/10/29	0000/00/00		4502413500	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	47953014500	ESD-R-25 . . ﾃﾞｰﾀﾗｲﾝﾌｲﾙﾀ *D0A*	X	           30.000	           30.000	            0.000	          445.000	          445.000	1210	P2	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	47953014600	ESD-R25D . . ﾃﾞｰﾀﾗｲﾝﾌｲﾙﾀ *D0A*	X	           60.000	           60.000	            0.000	         1037.000	         1460.000	1210	P2	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	50909014800	C-300-EG-10-10 2M ﾊﾟｯｷﾝ	X	           12.000	           12.000	            0.000	            7.000	          957.000	1210	P2	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/07/19	2025/10/08	2025/10/08	0000/00/00		4502414832	PD					            0.000
B10	10130795	SW-V02    (REACH)	2025/08/04	2025/08/20	L	900	63200006500	1615MRE ﾘﾝｸﾞｺｱｰ ﾌｪﾗｲﾄ ﾅｲｹ*D0A*	X	           45.000	           45.000	            0.000	          324.000	          324.000	1210	P2	高間　奈穂	S00835	（株）立花エレテック		            0.000	2025/05/29	2025/09/11	0000/00/00	0000/00/00		4502403974	PD					            0.000
