品目コード	プラント	品目タイプ	品目St	標準原価	価格単位	１個標準原価	現会計年度	現会計期間	評価クラス	間接費グループ	基本数量単位	調達タイプ	特殊調達タイプ	削除フラグ	品目テキスト	バルク品目	登録日付	登録者	変更日付	変更者	品目グループ	発注単位	NL	プラントレベル削除フラグ	出庫保管場所	入庫保管場所	在庫決定グループ	購買グループ	MRPグループ	MRP管理者	MRPタイプ	日程計画余裕キー	納入予定日数	入庫処理日数	発注点	安全在庫	最小ロットサイズ	最大ロットサイズ	固定ロットサイズ	購買発注丸め数量	組立不良率	製造計画担当	原産国	原産地	利益センタ	原価計算ロットサイズ	原価計算特殊調達タイプ	間接費キー	品目発生源	RoHSフラグ	RoHS日付	RoHSテキスト	安全重要	安全重要テキスト	設計予算材料費	設計予算加工費	図面改訂	該非判定	メーカーコード	メーカ正式名称1	メーカ正式名称2	格上げ区分	工程	適合確認Ver	集団変換後品目コード	GL勘定	棚番	メーカー名	Av	バックフラッシュ	購買発注テキスト
ZSH2	P300	FERT		0.000	1	0.000	0000	000	3200	ZZS210	PC	E			引取修理（クレーム）		20170223	SIS031	20250401	MM3008	99				3110	3110				S50	PD	000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.00	P30			PSSS320	1.000			X						0.00	0.00										154000			02		
E00A0143200	P300	HALB		3764.000	1	3764.000	2025	004	2200	ZZS310	SET	F			UF3 150Aﾌﾞｽﾊﾞｰ構成表		20100113	SISSYS	20250701	MM3005	ZZH		L		3110	3110		502		S90	PD	050	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1.000			X	K		三社ランク指針適合材(RoHS品)			1551.00	1772.00	AA	Y	4501325	滋賀工場ケース製造課		1				154000		SGｹｰｽ	02		
10003112005	P300	ROH		4350000.000	1000	4350.000	2025	001	1200	ZZS310	PC	F			DCF10 DC  75V ﾃｲｶｸDC  75V 2.5ｷﾕｳ ﾀｲｱﾂ200		20090611	SIS008	20250404	MM1055	10		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2007/02/01	三社ランク指針適合品(RoHS品)			1815.00	0.00		Y								154000		ﾄｳﾖｳｹｲ	02		
10003112517	P300	ROH		4200000.000	1000	4200.000	2025	001	1200	ZZS310	PC	F			DCF10 DC 500V ﾃｲｶｸDC 500V 2.5ｷﾕｳ ﾀｲｱﾂ200		20090611	SIS008	20250404	MM1055	10		L		3110	3110		500		S90	PD	080	19	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2007/02/01	三社ランク指針適合品(RoHS品)			2475.00	0.00		Y								154000		ﾄｳﾖｳｹｲ	02		
10003311700	P300	ROH		2700000.000	1000	2700.000	2025	001	1200	ZZS310	PC	F			DCF10 DC   30A ﾃｲｶｸDC   30A E*		20090611	SIS008	20250404	MM1055	10		N		3110	3110		503		S90	PD	030	22	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2008/05/01	三社ランク指針適合品(RoHS品)			1870.00	0.00		X	4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10003312100	P300	ROH		4000000.000	1000	4000.000	2025	001	1200	ZZS310	PC	F			DCF10 DC   75A ﾃｲｶｸDC   75A E*		20090722	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			1870.00	0.00		X	4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10003313321	P300	ROH		2500000.000	1000	2500.000	2025	001	1200	ZZS310	PC	F			DCF10 DC 1500A ﾃｲｶｸDC 1500A EX.SHNT 60MV		20090611	SIS008	20250404	MM1055	10		L		3110	3110		500		S90	PD	080	27	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2007/02/01	三社ランク指針適合品(RoHS品)			1870.00	0.00		X								154000		ﾄｳﾖｳｹｲ	02		
10015529602	P300	ROH		4850000.000	1000	4850.000	2025	001	1200	ZZS310	PC	F			DVF11M DC100A ﾃｲｶｸDC100A EX.S*		20230606	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						5000.00	0.00			4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10015537300	P300	ROH		4850000.000	1000	4850.000	2025	001	1200	ZZS310	PC	F			DVF11M DC  75V ﾃｲｶｸDC  75V 1.*		20211126	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						4270.00	0.00			4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10015542101	P300	ROH		4850000.000	1000	4850.000	2025	001	1200	ZZS310	PC	F			DVF11M DC40A ﾃｲｶｸDC40A EX.SHN*		20220616	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	501		S90	PD	080	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			4850.00	0.00			4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10015547700	P300	ROH		7250000.000	1000	7250.000	2025	001	1200	ZZS310	PC	F			DVF11M DC   75A ﾃｲｶｸDC   75A *		20220616	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	501		S90	PD	080	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						7250.00	0.00			4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10015547701	P300	ROH		4850000.000	1000	4850.000	2025	001	1200	ZZS310	PC	F			DVF11M DC   75A ﾃｲｶｸDC   75A *		20230830	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			4270.00	0.00			4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10037216601	P300	ROH		2600000.000	1000	2600.000	2025	001	1200	ZZS310	PC	F			ACF10 AC    3A ｴﾝﾁﾖｳ  3ﾊﾞｲ ﾃｲ*		20091125	SISSYS	20250610	PP1150	ZZZ		L		3110	3110		500		S90	PD	080	27	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						1441.00	0.00		X	4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10701022801	P300	ROH		24150000.000	1000	24150.000	2025	001	1200	ZZS310	PC	F			TDM49T6141-0 3.5ｹﾀ ﾎｼﾞﾖDC 48V*		20091125	SISSYS	20250404	MM1055	ZZZ		N		3110	3110		503		S90	PD	080	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			26565.00	0.00		X	4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
10802000100	P300	ROH		8050000.000	1000	8050.000	2025	001	1200	ZZS310	PC	F			KVS04W-R IN:DC100MV OUT 1*D0A*		20091124	SISSYS	20250404	MM1055	ZZZ		N		3110	3110		504		S90	PD	040	17	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E	2005/12/01	欧州RoHS適合品(RoHS品)			8250.00	0.00		Y	4501279	エム　システム技研						154000		ｴﾑｼｽﾃﾑ	02		2017/8/30時点仕入先情報：終息予定なし。生産地情報：大阪府
10802082600	P300	ROH		6882000.000	1000	6882.000	2025	001	1200	ZZS310	PC	F			W5VS-5AY-M*		20090612	SIS008	20250723	MM1005	MAIN		N		3110	3110		504		S90	PD	040	17	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2007/06/01	三社ランク指針適合品(RoHS品)			5280.00	0.00		Y								154000	P01-1	ｴﾑｼｽﾃﾑ	02		2020/1/20 IPO評価減部材
10802083400	P300	ROH		7800000.000	1000	7800.000	2025	001	1200	ZZS310	PC	F			W5VS-05WYM INDC0-+-60MV OUT:DC +5V OUT:D		20090611	SIS008	20250404	MM1055	10		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2009/06/01	三社ランク指針適合品(RoHS品)			5280.00	0.00		Y								154000		ｴﾑｼｽﾃﾑ	02		2017/8/30時点仕入先情報：終息予定なし。生産地情報：大阪府
10802092201	P300	ROH		7800000.000	1000	7800.000	2025	001	1200	ZZS310	PC	F			W5VS-55YM-K IN:DC0-5V OUT:DC *		20190226	SISSYS	20250404	MM1055	10		N		3110	3110	3110	500		S90	PD	080	25	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			4500.00	0.00			4501279	エム　システム技研						154000		ｴﾑｼｽﾃﾑ	02		
12006013102	P300	ROH		24720000.000	1000	24720.000	2025	001	1200	ZZS310	PC	F			MPC10 DC200A ﾃｲｶｸDC200A EX.SH*		20220901	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	75	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						24720.00	0.00			4500605	東洋計器						154000		ﾄｳﾖｳｹｲ	02		
20001111503	P300	ROH		1440000.000	1000	1440.000	2025	001	1200	ZZS310	PC	F			SP-V		20100308	SISSYS	20250404	MM1055	ZZZ		N		3110	3110		504		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						979.00	0.00		X								154000		ﾅｶﾑﾗ D	02		
20001212700	P300	ROH		4190000.000	1000	4190.000	2025	001	1200	ZZS310	PC	F			AN-2AB-RKK-N 600V 20A 2ﾀﾞﾝ 5ﾉ*		20240610	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						4190.00	0.00			4500835	正興Ｃ＆Ｅ						154000		ｾｲｺｳCE	02		
20001212800	P300	ROH		5370000.000	1000	5370.000	2025	001	1200	ZZS310	PC	F			AN-X303-RKK-N 600V 1A 3ﾀﾞﾝ 3ﾉ*		20240610	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						5370.00	0.00			4500835	正興Ｃ＆Ｅ						154000		ｾｲｺｳCE	02		
20001212900	P300	ROH		4190000.000	1000	4190.000	2025	001	1200	ZZS310	PC	F			AN-2V-RKK-N 600V 20A 2ﾀﾞﾝ 5ﾉｯ*		20240610	SISSYS	20250404	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						4190.00	0.00			4500835	正興Ｃ＆Ｅ						154000		ｾｲｺｳCE	02		
20002112012	P300	ROH		4670000.000	1000	4670.000	2025	001	1200	ZZS310	PC	F			DMC2-3 DC 10V DC 1MA 2ﾀﾞﾝ*D0A*		20090611	SIS008	20250401	MM3005	20		N		3110	3110		504		S90	PD	030	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			2216.50	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20002115403	P300	ROH		6480000.000	1000	6480.000	2025	001	1200	ZZS310	PC	F			DMC4-8-45 AC220V AC 5A 4ﾀﾞﾝ 8ﾉﾂﾁ 45ﾟ ｷｸｶ		20090611	SIS008	20250404	MM1055	20		N		3110	3110		504		S90	PD	030	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			3210.90	0.00		X								154000		ﾅｶﾑﾗ D	02		
20002118902	P300	ROH		8460000.000	1000	8460.000	2025	001	1200	ZZS310	PC	F			DMC2-6 DC 10V 10MA 6ﾀﾞﾝ 6*D0A*		20090611	SIS008	20250404	MM1055	20		N		3110	3110		504		S90	PD	040	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						4483.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20002120600	P300	ROH		6600000.000	1000	6600.000	2025	001	1200	ZZS310	PC	F			DMC3-5 DC 10V DC 1MA 3ﾀﾞﾝ*D0A*		20090611	SIS008	20250401	MM3005	20		N		3110	3110		504		S90	PD	030	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			4565.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20002135400	P300	ROH		5450000.000	1000	5450.000	2025	001	1200	ZZS310	PC	F			DMC-3-4 DC 10V DC 1MA 3ﾀﾞ*D0A*		20090611	SIS008	20250401	MM3005	20		N		3110	3110		504		S90	PD	030	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			2772.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20002135500	P300	ROH		7380000.000	1000	7380.000	2025	001	1200	ZZS310	PC	F			DMC2-5 DC 10V DC 1MA 5ﾀﾞﾝ*D0A*		20141226	SISSYS	20250404	MM1055	20		N		3110	3110		504		S90	PD	030	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						2000.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20002135501	P300	ROH		13980000.000	1000	13980.000	2025	001	1200	ZZS310	PC	F			DMC2-5 DC 10V DC 1MA 5ﾀﾞﾝ*D0A*		20130325	SISSYS	20250404	MM1055	ZZZ		N		3110	3110		504		S90	PD	020	40	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						8640.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20002135700	P300	ROH		9380000.000	1000	9380.000	2025	001	1200	ZZS310	PC	F			DMC2-7 DC 10V DC 1MA 7ﾀﾞﾝ*D0A*		20130325	SISSYS	20250404	MM1055	ZZZ		N		3110	3110		504		S90	PD	020	40	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						5040.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20002135800	P300	ROH		7330000.000	1000	7330.000	2025	001	1200	ZZS310	PC	F			DMC2-3 DC 10V DC 1MA 2ﾀﾞﾝ*D0A*		20090629	SIS008	20250404	MM1055	20		N		3110	3110		504		S90	PD	030	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			4488.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20004111300	P300	ROH		4620000.000	1000	4620.000	2025	001	1200	ZZS310	PC	F			DMC3-3 DC 10V DC 0.001A 3*D0A*		20090611	SIS008	20250404	MM1055	20		N		3110	3110		504		S90	PD	030	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			2970.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20004111600	P300	ROH		3700000.000	1000	3700.000	2025	001	1200	ZZS310	PC	F			DMC2-2 DC 10V DC0.001A 2ﾀ*D0A*		20090611	SIS008	20250404	MM1055	20		N		3110	3110		504		S90	PD	040	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						1920.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20004311200	P300	ROH		9540000.000	1000	9540.000	2025	001	1200	ZZS310	PC	F			DMC2-3 DC 10V DC0.001A 3ﾀ*D0A*		20090611	SIS008	20250404	MM1055	20		N		3110	3110		504		S90	PD	040	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			5350.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20004311300	P300	ROH		9360000.000	1000	9360.000	2025	001	1200	ZZS310	PC	F			DMC2-4 DC 10V DC0.001A 4ﾀ*D0A*		20090611	SIS008	20250404	MM1055	20		N		3110	3110		504		S90	PD	040	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			7788.00	0.00		X	4500243	中村電機						154000		ﾅｶﾑﾗ D	02		
20612004100	P300	ROH		2575000.000	1000	2575.000	2025	001	1200	ZZS310	PC	F			A3PJ90A12-24EG LEDｼｷ DC 24V 0ﾌﾞﾝｶﾂ LEDﾐﾄ		20090611	SIS008	20250404	MM1055	20		L		3110	3110		503		S90	PD	040	135	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						2600.00	0.00		X								154000		ｵﾑﾛﾝ	02		
20612004200	P300	ROH		2575000.000	1000	2575.000	2025	001	1200	ZZS310	PC	F			A3PJ90A12-24ER LEDｼｷ DC 24V 0ﾌﾞﾝｶﾂ LEDｱｶ		20090611	SIS008	20250404	MM1055	20		L		3110	3110		503		S90	PD	040	131	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						2600.00	0.00		X								154000		ｵﾑﾛﾝ	02		
22003000800	P300	ROH		903000.000	1000	903.000	2025	001	1200	ZZS310	PC	F			MY2CR AC200/220V 2C CRﾂｷ ROHSﾀｲｵｳﾋﾝ		20090611	SIS008	20250404	MM1055	22		L		3110	3110		503		S90	PD	040	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			950.00	0.00		X								154000		ｵﾑﾛﾝ	02		
22003003100	P300	ROH		1170000.000	1000	1170.000	2025	001	1200	ZZS310	PC	F			MY2ZD DC24V 2C		20090611	SIS008	20250404	MM1055	22		L		3110	3110		503		S90	PD	040	14	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						941.00	0.00		X								154000		ｵﾑﾛﾝ	02		
22003004800	P300	ROH		1360000.000	1000	1360.000	2025	001	1200	ZZS310	PC	F			MY2ZD DC100V 2C ｾﾂﾃﾝAC 250V ｾ*		20090611	SIS008	20250404	MM1055	22		L		3110	3110		503		S90	PD	030	27	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			1100.00	0.00		X	4500914	オムロン				3		154000	P25-3-7-6	ｵﾑﾛﾝ	02		
22003108500	P300	ROH		955000.000	1000	955.000	2025	001	1200	ZZS310	PC	F			MY4N-D2 DC100V 4C ｾﾂﾃﾝAC 250V*		20090611	SIS008	20250404	MM1055	22		L		3110	3110		503		S90	PD	020	40	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			999.00	0.00		X	4500914	オムロン				3		154000	P25-3-4-3	ｵﾑﾛﾝ	02		
22003108700	P300	ROH		1080000.000	1000	1080.000	2025	001	1200	ZZS310	PC	F			MY4N-CR AC100V 4C ｾﾂﾃﾝAC 250V*		20090611	SIS008	20250404	MM1055	22		L		3110	3110		503		S90	PD	030	27	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X	2005/03/01	RoHS非適合品			1140.00	0.00		X	4500914	オムロン						154000		ｵﾑﾛﾝ	02		
22003109200	P300	ROH		1840000.000	1000	1840.000	2025	001	1200	ZZS310	PC	F			MYQ4Z DC24V 4C ｾﾂﾃﾝAC 250V ｾﾂ*		20140630	SISSYS	20250404	MM1055	ZZZ		L		3110	3110		503		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						980.00	0.00		Y	4500914	オムロン						154000		ｵﾑﾛﾝ	02		
22003111500	P300	ROH		283000.000	1000	283.000	2025	001	1200	ZZS310	PC	F			MY2 AC100V 2C ｾﾂﾃﾝAC 250V ｾﾂﾃ*		20090612	SIS008	20250404	MM1055	22		L		3110	3110		503		S90	PD	030	100	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			300.00	0.00		Y	4500914	オムロン				3		154000		ｵﾑﾛﾝ	02		
22003112500	P300	ROH		283000.000	1000	283.000	2025	001	1200	ZZS310	PC	F			MY2 DC100V 2C ROHSﾀｲｵｳﾋﾝ		20090610	SIS019	20250404	MM1055	22		L		3110	3110		503		S90	PD	040	16	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			300.00	0.00		X								154000		ｵﾑﾛﾝ	02		購入可能部材20141121時点
22003112700	P300	ROH		1003000.000	1000	1003.000	2025	001	1200	ZZS310	PC	F			MY2CR AC100/110V 2C ｾﾂﾃﾝAC 25*		20090611	SIS008	20250404	MM1055	22		L		3110	3110		503		S90	PD	030	22	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			946.00	0.00		X	4500914	オムロン				4		154000		ｵﾑﾛﾝ	02		
22003113700	P300	ROH		1210000.000	1000	1210.000	2025	001	1200	ZZS310	PC	F			MY4N-CR AC200V 4C ｾﾂﾃﾝAC 250V*		20090611	SIS008	20250404	MM1055	22		L		3110	3110		503		S90	PD	040	16	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			1140.00	0.00		X	4500914	オムロン				3		154000		ｵﾑﾛﾝ	02		
