分類	完成年月	月数	品目コード	品目テキスト	指図	保管場所	計画開始	計画終了	受注変更前計画終了	WBS要素	プラント	品目タイプ	MRP管理者	MRP管理者名	指図タイプ	指図タイプ名	指図カテゴリ	項目	工場	区分	タイプ	投入数	当月予定数	不良数	最大完成数	過去完成数累計	完成数	完成残数	計画原価	実績原価	原価差異	実績正味原価	正味原価差異	実績副資材	当月副資材	実績間接費	当月間接費	予定原価	不良原価	製品金額	製品残金額	製品不良金額	計画原価ORG	実績原価ORG	原価差異ORG	実績正味原価ORG	正味原価差異ORG	実績副資材ORG	当月副資材ORG	実績間接費ORG	当月間接費ORG	予定原価ORG	不良原価ORG	製品金額ORG	製品残金額ORG	製品不良金額ORG	材料原価	加工原価	経費原価	直接材料費	補助材料費	副資材費	外注加工費	労務費	間接費	設備費	経費	有効価格なし	逆ザヤ	販売伝票	販売伝票明細
10.完成予定	2025/08	 7	A00A1511801	NW-150AH-5 CQC	10131775	1911	20250729	20250819			P100	FERT	B10	小型１号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	20.000	20.000	0.000	0.000	0.000	0.000	20.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14562888.000	0.000	0.000	14000000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14562888.000	0.000	0.000	14000000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A1311100	KTA2F2-80-300VCT1	10132651	1910	20250723	20250822			P100	FERT	B50	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	2.000	2.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4056956.000	0.000	0.000	5870000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4056956.000	0.000	0.000	5870000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
02.12xx指図	2025/08	 2	U00A0192301	80V-300A T1(UNIT)	10132652	1210	20250717	20250804			P100	HALB	B50	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	2.000	2.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1472494.000	1472494.000	0.000	1609971.000	-137477.000	0.000	0.000	0.000	0.000	0.000	0.000	1472494.000	0.000	0.000	718734.000	100580.000	653180.000	684624.000	34110.000	100580.000	638176.000	11594.000	2416.000	994.000	0.000	X	X		
10.完成予定	2025/08	 3	A00A1963600	MRT-15010CY       STD	10132853	1911	20250728	20250806			P100	FERT	B10	小型１号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	5.000	5.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2082140.000	0.000	0.000	2315000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2082140.000	0.000	0.000	2315000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 3	A00A1963100	MRT-10010CY       STD	10132854	1911	20250728	20250806			P100	FERT	B10	小型１号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	5.000	5.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1856421.000	0.000	0.000	1870000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1856421.000	0.000	0.000	1870000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
01.製造完成	2025/08	 3	A6A862600	IDKS-40-200T3 L67-70L	10132876	1911	20250723	20250805			P100	FERT	B10	小型１号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	8.000	8.000	0.000	0.000	0.000	8.000	0.000	3000824.000	3000824.000	0.000	3068893.000	-68069.000	12485.000	0.000	948754.000	0.000	0.000	0.000	3432000.000	0.000	0.000	3000824.000	3000824.000	0.000	3068893.000	-68069.000	12485.000	0.000	948754.000	0.000	0.000	0.000	3432000.000	0.000	0.000	1232421.600	276889.600	1491509.600	1180710.400	51711.200	276889.600	535016.000	952055.200	3457.600	980.800	0.000				
10.完成予定	2025/08	 2	A00A0207200	#YWE-SR350-AJ0(C)	10132933	1910	20250729	20250807			P100	FERT	B82	小型８号ライン	ZP10	電源	10	中国	大阪	中国	製作	50.000	50.000	0.000	0.000	0.000	0.000	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19175122.000	0.000	0.000	22500000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19175122.000	0.000	0.000	22500000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A1548802	KSM-6002HAFIWV (RoHS)	10132943	1911	20250805	20250825			P100	FERT	B10	小型１号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	40.000	40.000	0.000	0.000	0.000	0.000	40.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12195796.000	0.000	0.000	18000000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12195796.000	0.000	0.000	18000000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
02.12xx指図	2025/08	 2	EEA557400	FIN3	10132955	1210	20250820	20250826			P100	HALB	CE0	ヒートシンク	ZP10	電源	10	大型(ケース)	滋賀	大型	製作	12.000	12.000	0.000	0.000	0.000	12.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14016.000	14016.000	0.000	72816.000	-58800.000	0.000	0.000	0.000	0.000	0.000	0.000	14016.000	0.000	0.000	2064.000	0.000	11952.000	2064.000	0.000	0.000	11952.000	0.000	0.000	0.000	0.000	X	X		
02.12xx指図	2025/08	 2	EEA557500	FIN ME9*120	10132956	1210	20250820	20250826			P100	HALB	CE0	ヒートシンク	ZP10	電源	10	大型(ケース)	滋賀	大型	製作	12.000	12.000	0.000	0.000	0.000	12.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10848.000	10848.000	0.000	72816.000	-61968.000	0.000	0.000	0.000	0.000	0.000	0.000	10848.000	0.000	0.000	2064.000	0.000	8784.000	2064.000	0.000	0.000	8784.000	0.000	0.000	0.000	0.000	X	X		
10.完成予定	2025/08	 2	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	10132962	1911	20250724	20250805			P100	FERT	B10	小型１号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	65612.500	0.000	0.000	92000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	65612.500	0.000	0.000	92000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 1	971030100	RA1A8434    ﾃﾞﾝｹﾞﾝﾕﾆﾂﾄ	10132966	1910	20250807	20250826			P100	HALB	CX9	ダブルナイン S	ZP10	電源	10	組外	滋賀	大型	製作	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	51646.000	0.000	0.000	85284.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	51646.000	0.000	0.000	85284.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 0	A00A1715101	#HKD-40120GU (C) (N)	10132988	1944	20250806	20250807			P100	FERT	B82	小型８号ライン	ZP10	電源	10	中国	大阪	中国	製作	8.000	8.000	0.000	0.000	0.000	0.000	8.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1604408.000	0.000	0.000	2744000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1604408.000	0.000	0.000	2744000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 0	A00A1274701	#HKD-15200GU (C) (N)	10132991	1944	20250818	20250819			P100	FERT	B82	小型８号ライン	ZP10	電源	10	中国	大阪	中国	製作	100.000	100.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18422976.000	0.000	0.000	23100000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18422976.000	0.000	0.000	23100000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 0	A00A1274701	#HKD-15200GU (C) (N)	10132992	1944	20250820	20250821			P100	FERT	B82	小型８号ライン	ZP10	電源	10	中国	大阪	中国	製作	100.000	100.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18422976.000	0.000	0.000	23100000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18422976.000	0.000	0.000	23100000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 0	A00A1357501	#HKD-30100GU (C) (N)	10132993	1944	20250822	20250825			P100	FERT	B82	小型８号ライン	ZP10	電源	10	中国	大阪	中国	製作	60.000	60.000	0.000	0.000	0.000	0.000	60.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10796070.000	0.000	0.000	17820000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10796070.000	0.000	0.000	17820000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A1245100	HKD-RE PANEL	10133005	1911	20250722	20250807			P100	FERT	B55	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	10.000	10.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	323916.000	0.000	0.000	330000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	323916.000	0.000	0.000	330000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 3	U00A0022200	SR500 ｾｲｷﾞｮPCB ASSY	10133018	1910	20250701	20250808			P100	HALB	B58	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	5.000	5.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	132829.000	0.000	0.000	132830.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	132829.000	0.000	0.000	132830.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 1	A5A279900	TDK-200-120PCT3      STD	10133072	1911	20250806	20250827			P100	FERT	BP0	有岡電機製作所 O	ZP10	電源	10	組外	大阪	組外	製作	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1112404.000	0.000	0.000	850000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1112404.000	0.000	0.000	850000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A1245100	HKD-RE PANEL	10133099	1911	20250806	20250827			P100	FERT	B55	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	10.000	10.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	323916.000	0.000	0.000	330000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	323916.000	0.000	0.000	330000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A0248400	Spare FAN ｶｺｳﾋﾝ	10133140	1910	20250801	20250820			P100	FERT	B58	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	50.000	50.000	0.000	0.000	0.000	0.000	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	138615.000	0.000	0.000	300000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	138615.000	0.000	0.000	300000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 3	A7A496400	NSW-18ST1  (380V,MCBｿｸﾒﾝ)	10133177	1911	20250725	20250825			P100	FERT	BP0	有岡電機製作所 O	ZP10	電源	10	組外	大阪	組外	製作	5.000	5.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4919714.000	0.000	0.000	3636000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4919714.000	0.000	0.000	3636000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A0480500	冷却扇 ASSY	10133191	1910	20250804	20250821			P100	FERT	B58	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	3.000	3.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24541.800	0.000	0.000	26628.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24541.800	0.000	0.000	26628.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A0141800	MRT-PR ﾊﾟｿｺﾝｹｰﾌﾞﾙ3MｾｯﾄUSB	10133218	1910	20250718	20250804			P100	FERT	B55	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	2.000	2.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	105613.800	0.000	0.000	88000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	105613.800	0.000	0.000	88000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
02.12xx指図	2025/08	 1	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	10133236	1210	20250612	20250618			P100	HALB	CE0	ヒートシンク	ZP10	電源	10	大型(ケース)	滋賀	大型	製作	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4592.000	4592.000	0.000	14700.000	-10108.000	0.000	0.000	0.000	0.000	0.000	0.000	4592.000	0.000	0.000	2830.000	0.000	1762.000	2830.000	0.000	0.000	1762.000	0.000	0.000	0.000	0.000	X	X		
02.12xx指図	2025/08	 1	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	10133237	1210	20250612	20250618			P100	HALB	CE0	ヒートシンク	ZP10	電源	10	大型(ケース)	滋賀	大型	製作	4.000	4.000	0.000	0.000	0.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18456.000	18456.000	0.000	44962.000	-26506.000	0.000	0.000	0.000	0.000	0.000	0.000	18456.000	0.000	0.000	14840.000	0.000	3616.000	14840.000	0.000	0.000	3616.000	0.000	0.000	0.000	0.000	X	X		
02.12xx指図	2025/08	 2	ECA548800	SCRﾌｨﾝ3	10133251	1210	20250725	20250731			P100	HALB	CE0	ヒートシンク	ZP10	電源	10	大型(ケース)	滋賀	大型	製作	15.000	15.000	0.000	0.000	0.000	15.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	49200.000	49200.000	0.000	122824.000	-73624.000	0.000	0.000	0.000	0.000	0.000	0.000	49200.000	0.000	0.000	28200.000	0.000	21000.000	28200.000	0.000	0.000	21000.000	0.000	0.000	0.000	0.000	X	X		
10.完成予定	2025/08	 0	A00A1941900	UG1-2050	10133261	1911	20250808	20250819			P100	FERT	BE0	諏訪三社電機	ZP10	電源	10	組外	大阪	組外	製作	18.000	18.000	0.000	0.000	0.000	0.000	18.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	734540.004	0.000	0.000	882000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	734540.004	0.000	0.000	882000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 0	A00A1941000	UG1-2050F	10133262	1911	20250808	20250820			P100	FERT	BE0	諏訪三社電機	ZP10	電源	10	組外	大阪	組外	製作	9.000	9.000	0.000	0.000	0.000	0.000	9.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	376911.000	0.000	0.000	459000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	376911.000	0.000	0.000	459000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 0	A00A1921000	UG1-4050F	10133263	1911	20250808	20250822			P100	FERT	BE0	諏訪三社電機	ZP10	電源	10	組外	大阪	組外	製作	9.000	9.000	0.000	0.000	0.000	0.000	9.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	376911.000	0.000	0.000	459000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	376911.000	0.000	0.000	459000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 0	A00A1921100	UG1-4075F	10133264	1911	20250821	20250827			P100	FERT	BE0	諏訪三社電機	ZP10	電源	10	組外	大阪	組外	製作	36.000	36.000	0.000	0.000	0.000	0.000	36.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1628664.012	0.000	0.000	1872000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1628664.012	0.000	0.000	1872000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A1245300	HKD-10RE CABLE	10133316	1910	20250711	20250825			P100	FERT	BX0	ダブルナイン O	ZP10	電源	10	組外	大阪	組外	製作	10.000	10.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	166678.000	0.000	0.000	140000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	166678.000	0.000	0.000	140000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 2	A00A1524000	HKD-50RE CABLE	10133337	1910	20250725	20250822			P100	FERT	BX0	ダブルナイン O	ZP10	電源	10	組外	大阪	組外	製作	7.000	7.000	0.000	0.000	0.000	0.000	7.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	234864.000	0.000	0.000	245000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	234864.000	0.000	0.000	245000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
10.完成予定	2025/08	 1	U0A854200	HKE(D)-F FAN SET	10133359	1911	20250808	20250827			P100	FERT	B58	小型５号ライン	ZP10	電源	10	小型(内作)	大阪	小型	製作	20.000	20.000	0.000	0.000	0.000	0.000	20.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	94412.000	0.000	0.000	140000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	94412.000	0.000	0.000	140000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				
02.12xx指図	2025/08	 2	J00B1130500	PCB取付板	10133428	1210	20250827	20250902			P100	HALB	CC0	ケース	ZP10	電源	10	大型(ケース)	滋賀	大型	製作	10.000	10.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12570.000	12570.000	0.000	19729.000	-7159.000	69.000	0.000	0.000	0.000	0.000	0.000	12570.000	0.000	0.000	772.000	0.000	11793.000	728.000	44.000	0.000	11793.000	0.000	0.000	0.000	0.000	X	X		
